Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RxBt(V),Curr(A),Capa(mAh),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),VSpd(m/s),FM,Sats,TxBat(V),Rud,Ele,Thr,Ail
2024-09-15,15:10:00.000,-40,-46,100,14,16.80,12.5,3,0.0000,0.0000,0.0000,42.066640 -94.849273,1.0,0,0.0,0.00,ACRO,12,7.8,0,0,8,0
2024-09-15,15:10:01.000,-41,-46,100,14,16.83,12.5,7,0.0000,0.0000,0.0000,42.066640 -94.849273,1.0,0,1.0,1.00,ACRO,12,7.8,38,0,8,0
2024-09-15,15:10:02.000,-42,-45,100,14,16.82,20.5,13,0.0000,0.0000,0.0000,42.066640 -94.849273,1.0,0,2.0,1.00,ACRO,12,7.8,67,0,208,0
2024-09-15,15:10:03.000,-42,-44,100,14,16.74,22.8,19,0.0500,0.0000,0.0000,42.066640 -94.849273,5.0,0,2.0,0.00,ACRO,12,7.8,80,30,240,0
2024-09-15,15:10:04.000,-43,-43,100,14,16.63,25.3,26,0.0500,0.0000,0.0000,42.066640 -94.849273,10.0,0,4.2,2.24,ACRO,12,7.8,73,30,280,0
2024-09-15,15:10:05.000,-43,-42,100,14,16.55,27.8,34,0.0500,0.0000,0.0000,42.066640 -94.849273,15.0,0,11.0,6.72,ACRO,12,7.8,48,30,320,0
2024-09-15,15:10:06.000,-43,-41,100,14,16.52,30.3,42,0.0500,0.0000,0.0000,42.066640 -94.849273,20.0,0,21.0,10.08,ACRO,12,7.8,11,30,360,0
2024-09-15,15:10:07.000,-43,-40,100,14,16.55,32.8,51,0.0500,0.0000,0.0000,42.066640 -94.849273,25.0,0,27.8,6.72,ACRO,12,7.8,-28,30,400,0
2024-09-15,15:10:08.000,-42,-40,100,14,16.38,65.0,69,0.0000,0.0000,0.0000,42.066676 -94.849273,90.0,0,30.0,2.24,ACRO,12,7.8,-61,0,920,0
2024-09-15,15:10:09.000,-41,-40,100,14,16.39,67.8,88,-0.9405,0.0951,0.0000,42.066669 -94.849216,84.3,0,27.7,-2.29,ACRO,12,7.8,-78,-564,874,57
2024-09-15,15:10:10.000,-41,-41,100,14,16.37,63.8,106,-1.5217,0.0588,0.0000,42.066651 -94.849180,69.3,0,21.7,-6.00,ACRO,12,7.8,-77,-913,754,35
2024-09-15,15:10:11.000,-40,-42,100,14,16.33,54.5,121,-1.5217,-0.0588,0.0000,42.066629 -94.849180,50.7,0,14.3,-7.42,ACRO,12,7.8,-56,-913,606,-35
2024-09-15,15:10:12.000,-39,-43,100,14,16.31,43.5,133,-0.9405,-0.0951,0.0000,42.066611 -94.849216,35.7,0,8.3,-6.00,ACRO,12,7.8,-22,-564,486,-57
2024-09-15,15:10:13.000,-38,-44,100,14,16.32,35.0,143,-0.0000,-0.0000,0.0000,42.066604 -94.849273,30.0,0,6.0,-2.29,ACRO,12,7.8,17,0,440,0
2024-09-15,15:10:14.000,-37,-45,100,14,16.34,43.5,155,0.9405,0.0951,0.0000,42.066611 -94.849330,35.7,0,8.3,2.29,ACRO,12,7.8,53,564,486,57
2024-09-15,15:10:15.000,-37,-46,100,14,16.33,54.5,170,1.5217,0.0588,0.0000,42.066629 -94.849365,50.7,0,14.3,6.00,ACRO,12,7.8,75,913,606,35
2024-09-15,15:10:16.000,-37,-46,100,14,16.26,63.8,188,1.5217,-0.0588,0.0000,42.066651 -94.849365,69.3,0,21.7,7.42,ACRO,12,7.8,79,913,754,-35
2024-09-15,15:10:17.000,-37,-46,100,14,16.14,67.8,207,0.9405,-0.0951,0.0000,42.066669 -94.849330,84.3,0,27.7,6.00,ACRO,12,7.8,64,564,874,-57
2024-09-15,15:10:18.000,-38,-45,100,14,16.12,52.4,221,0.4000,0.0000,1.5708,42.066640 -94.849273,60.0,90,35.0,7.29,ACRO,12,7.8,33,240,680,0
2024-09-15,15:10:19.000,-39,-44,99,14,15.97,65.3,239,0.3235,0.0000,1.5708,42.066640 -94.848901,86.8,90,26.6,-8.42,ACRO,12,7.8,-6,194,894,0
2024-09-15,15:10:20.000,-40,-44,98,14,15.90,76.3,260,0.2586,0.0000,1.5708,42.066640 -94.848587,109.5,90,19.4,-7.14,ACRO,12,7.8,-44,155,1024,0
2024-09-15,15:10:21.000,-41,-43,97,14,15.89,83.6,284,0.2152,0.0000,1.5708,42.066640 -94.848377,124.7,90,14.7,-4.77,ACRO,12,7.8,-70,129,1024,0
2024-09-15,15:10:22.000,-42,-42,97,14,15.91,86.2,308,0.2000,0.0000,4.7124,42.066640 -94.848303,130.0,270,13.0,-1.67,ACRO,12,7.8,-80,120,1024,0
2024-09-15,15:10:23.000,-43,-41,97,14,15.91,83.6,331,0.2152,0.0000,4.7124,42.066640 -94.848377,124.7,270,14.7,1.67,ACRO,12,7.8,-70,129,1024,0
2024-09-15,15:10:24.000,-43,-41,98,14,15.88,76.3,352,0.2586,0.0000,4.7124,42.066640 -94.848587,109.5,270,19.4,4.77,ACRO,12,7.8,-43,155,1024,0
2024-09-15,15:10:25.000,-43,-41,99,14,15.86,65.3,370,0.3235,0.0000,4.7124,42.066640 -94.848901,86.8,270,26.6,7.14,ACRO,12,7.8,-5,194,894,0
2024-09-15,15:10:26.000,-43,-42,99,14,15.85,55.3,386,0.0500,3.1416,4.7124,42.066640 -94.848909,70.0,270,18.0,-8.58,ACRO,12,7.8,34,30,760,1885
2024-09-15,15:10:27.000,-43,-43,99,14,15.84,55.3,401,0.0500,1.5708,4.7124,42.066640 -94.848954,70.0,270,18.8,0.75,ACRO,12,7.8,64,30,760,942
2024-09-15,15:10:28.000,-43,-44,99,14,15.88,55.3,416,0.0500,0.0000,4.7124,42.066640 -94.849000,70.0,270,19.5,0.75,ACRO,12,7.8,79,30,760,0
2024-09-15,15:10:29.000,-42,-45,99,14,15.91,55.3,432,0.0500,-1.5708,4.7124,42.066640 -94.849045,70.0,270,20.3,0.75,ACRO,12,7.8,75,30,760,-942
2024-09-15,15:10:30.000,-41,-46,99,14,15.90,55.3,447,0.0500,3.1416,4.7124,42.066640 -94.849091,70.0,270,21.0,0.75,ACRO,12,7.8,52,30,760,1885
2024-09-15,15:10:31.000,-41,-46,100,14,15.83,55.3,462,0.0500,1.5708,4.7124,42.066640 -94.849136,70.0,270,21.8,0.75,ACRO,12,7.8,17,30,760,942
2024-09-15,15:10:32.000,-40,-46,100,14,15.73,55.3,478,0.0500,0.0000,4.7124,42.066640 -94.849182,70.0,270,22.5,0.75,ACRO,12,7.8,-23,30,760,0
2024-09-15,15:10:33.000,-39,-45,100,14,15.67,55.3,493,0.0500,-1.5708,4.7124,42.066640 -94.849227,70.0,270,23.3,0.75,ACRO,12,7.8,-57,30,760,-942
2024-09-15,15:10:34.000,-38,-45,100,14,15.71,47.5,506,0.0000,0.0000,4.7124,42.066640 -94.849273,55.0,270,24.0,0.75,ACRO,12,7.8,-77,0,640,0
2024-09-15,15:10:35.000,-37,-43,100,14,15.74,49.1,520,0.0000,0.9817,4.9087,42.066633 -94.849217,58.1,281,22.5,-1.50,ACRO,12,7.8,-78,0,665,589
2024-09-15,15:10:36.000,-37,-42,100,14,15.76,50.6,534,0.0000,1.9635,5.1051,42.066626 -94.849170,61.3,293,21.0,-1.50,ACRO,12,7.8,-60,0,690,1178
2024-09-15,15:10:37.000,-37,-41,100,14,15.74,52.2,548,0.0000,2.9452,5.3014,42.066620 -94.849138,64.4,304,19.5,-1.50,ACRO,12,7.8,-27,0,715,1767
